	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C49	C50	C51	C52	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C66	C67	C68	C69	C70	C71	C72	C73	C74
4632434I11Rik	0	0.0963425	3.44604	10.8207	1.28004	0.71976	0	1.57845	0	0.153198	0	0	1.14092	1.43128	20.1361	1.97997	0	1.61629	3.97516	16.17	1.32705	1.18654	0.0937796	0	22.9534	0	47.8612	76.3076	3.21505	11.4908	21.2012	8.89249	2.4285	1.4055	0	4.51122	30.426	28.7893	17.5306	16.4346	0	0	12.0601	25.034	0.102833	0.524722	1.626	0
Abi1	7.0838	13.0348	1.85126	13.8672	17.9881	30.493	8.91857	1.99851	30.4381	11.3588	0.807602	30.197	16.5042	32.6436	1.37861	14.1919	0.694416	2.27177	8.31269	0.530651	6.71108	3.13369	9.97837	19.4426	41.9966	3.82546	6.09673	25.1887	0.363428	16.2211	22.6992	2.40839	15.1723	55.4587	38.8126	44.546	2.91339	15.644	0.244579	13.375	0	25.1975	23.7451	10.2395	7.07292	0.0939836	41.3351	0.784958
Ada	0	0	3.95662	1.67923	0	0	8.63936	0	0	0	0	1.35481	0	0	0	0	0.655922	0.574589	0	2.27564	0	0	0	0	0	0	0.00780407	0	1.54775	0	0	2.22461	17.9188	0	4.51934	0	0	4.8456	6.12316	11.9894	0	21.0028	0	0	0	0.402495	0	0
Adam17	11.8225	19.0011	5.66554	0	11.9866	7.29117	19.0478	1.57869	5.63317	3.6567	0	0	0	21.6732	1.25239	3.16516	8.14583	8.0397	15.6518	4.56322	0	3.19786	13.9391	0.720185	0	6.41235	3.20145	0	1.82704	0	3.47599	0.806641	2.24423	20.97	0	9.1412	5.53057	1.36448	18.5855	1.78803	2.31077	6.82609	0	20.5688	7.36618	1.95733	2.36664	0
Add1	33.464	18.6774	8.72853	19.6213	0.51594	26.5926	18.2703	33.9434	27.23	6.15205	8.97318	29.7118	6.66828	20.4082	1.83166	2.76645	1.00438	14.8681	3.63101	4.74204	24.432	8.62372	55.1861	0	9.30444	16.2275	19.2098	11.1075	5.47525	17.8001	22.5399	24.0904	25.655	23.1413	2.49596	37.937	12.4749	1.08032	4.57185	45.7644	32.4235	6.40455	42.6026	26.5684	32.7732	32.7619	40.7878	22.2424
Adrm1	44.4241	33.2673	101.226	121.773	5.97041	40.384	83.4576	63.6684	34.5813	31.2952	26.759	37.5863	71.1018	115.111	87.985	85.0658	41.8821	98.4026	44.0572	47.6834	61.3	28.3678	40.7703	17.7898	47.8806	83.4612	78.556	38.3982	48.3137	12.2136	41.0442	33.8032	54.4386	34.3295	35.1329	52.1326	25.5489	26.4196	34.6352	38.7307	0.254649	40.8992	10.2128	76.7076	130.127	38.0535	19.7999	41.8392
Ahctf1	2.84213	3.72701	29.2487	4.04994	0.553514	17.9957	6.01612	10.5071	1.57148	18.5687	2.34935	22.4477	7.46744	12.0169	0.356777	10.7566	1.29663	2.74261	6.84339	0.0924201	16.2346	2.21988	18.7828	12.9179	0.0385788	0.779028	10.6292	2.90225	7.83685	3.83927	4.36412	4.65804	2.27226	3.72114	3.64808	2.54848	2.54938	6.35285	7.6128	4.56763	2.047	3.18756	16.4276	6.58463	12.707	14.5481	6.8083	0.205042
Alas2	0	0	0	1.76882	17.7279	1.19044	0	0	0	0	0	0	0	0	0	0	1.97026	0	0.356672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339875	1.0917	0	21.5062	0	0.00888436	0	0	0	0	0	0	0
Angpt1	0	2.41978	0.288574	0	0	0.52706	0.0205945	0.00314744	0	0	0	0	0	0	0	0	0.020065	0	0.0263716	0.00794768	0	0.00496522	0	0	0	0	0	0	0.00354438	0	0	1.06418	3.15053	0	0.224338	0	0	0	3.30303	0	0	0	0	0	0	0	0	0
Angpt2	1.75451	0.138035	0.164477	0.14918	0	0	0	0	0.0842302	0.21973	0	4.79534	0	0.171079	3.56589	0	0	1.42717	0	0.176953	0	10.0393	0	0	0	0	0	0	0	0	0	6.30715	0	0	0	0	0.0923529	0	0	2.49177	0	0	0	0	0	0.375933	0	0
